Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
01.10.2017 00:00:00;-0.30;-0.21;-1.45;-0.39;286.97;13.82;-24.16;-18.32;281.37;336.65;75.85;-5.84;-55.28;-61.12;
01.10.2017 00:01:00;-0.30;-0.21;-1.45;-0.37;286.93;13.78;-24.29;-18.47;281.35;339.10;76.05;-5.82;-57.76;-63.57;
01.10.2017 00:02:00;-0.30;-0.21;-1.45;-0.37;286.90;13.75;-24.25;-18.22;281.32;339.20;75.17;-6.02;-57.88;-63.90;
01.10.2017 00:03:00;-0.30;-0.21;-1.45;-0.38;286.90;13.75;-24.22;-17.94;281.06;337.90;74.06;-6.28;-56.84;-63.13;
01.10.2017 00:04:00;-0.30;-0.20;-1.45;-0.39;286.89;13.74;-24.03;-17.76;281.08;336.22;73.91;-6.27;-55.15;-61.42;
01.10.2017 00:05:00;-0.30;-0.21;-1.45;-0.40;286.89;13.74;-24.01;-18.42;280.92;335.29;76.71;-5.59;-54.37;-59.96;
01.10.2017 00:06:00;-0.30;-0.21;-1.45;-0.40;286.88;13.73;-23.96;-18.64;280.89;335.19;77.80;-5.32;-54.30;-59.62;
01.10.2017 00:07:00;-0.30;-0.21;-1.45;-0.39;286.86;13.71;-24.18;-18.56;280.74;336.60;76.76;-5.62;-55.86;-61.48;
01.10.2017 00:08:00;-0.30;-0.21;-1.45;-0.40;286.86;13.71;-24.22;-18.65;280.86;335.36;76.99;-5.57;-54.50;-60.08;
01.10.2017 00:09:00;-0.30;-0.22;-1.45;-0.40;286.86;13.71;-24.31;-18.78;280.75;334.81;77.26;-5.53;-54.06;-59.59;
01.10.2017 00:10:00;-0.30;-0.22;-1.45;-0.40;286.85;13.70;-24.40;-18.89;280.75;335.05;77.44;-5.50;-54.30;-59.81;
01.10.2017 00:11:00;-0.30;-0.22;-1.45;-0.40;286.85;13.69;-24.42;-19.01;280.65;334.58;77.86;-5.41;-53.93;-59.33;
01.10.2017 00:12:00;-0.30;-0.22;-1.45;-0.40;286.84;13.69;-24.34;-18.93;280.67;334.71;77.79;-5.41;-54.04;-59.44;
01.10.2017 00:13:00;-0.30;-0.21;-1.45;-0.40;286.83;13.68;-24.20;-18.60;280.75;334.91;76.85;-5.60;-54.16;-59.77;
01.10.2017 00:14:00;-0.30;-0.21;-1.45;-0.40;286.81;13.66;-24.34;-18.71;280.66;334.98;76.90;-5.62;-54.31;-59.94;
01.10.2017 00:15:00;-0.30;-0.21;-1.45;-0.40;286.81;13.66;-24.18;-18.34;280.60;334.61;75.84;-5.84;-54.02;-59.86;
01.10.2017 00:16:00;-0.30;-0.21;-1.45;-0.40;286.80;13.65;-24.22;-18.00;280.33;334.70;74.32;-6.22;-54.37;-60.59;
01.10.2017 00:17:00;-0.30;-0.21;-1.45;-0.41;286.81;13.66;-24.31;-18.00;280.45;334.08;74.04;-6.31;-53.63;-59.94;
