Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
02.10.2017 00:00:00;-0.30;-0.21;-1.38;-0.34;286.07;12.92;-24.23;-18.46;281.56;337.98;76.18;-5.77;-56.42;-62.19;
02.10.2017 00:01:00;-0.30;-0.21;-1.38;-0.34;286.06;12.91;-24.39;-18.22;281.34;338.36;74.71;-6.17;-57.02;-63.18;
02.10.2017 00:02:00;-0.30;-0.20;-1.38;-0.34;286.04;12.89;-24.06;-17.81;281.43;337.66;74.01;-6.26;-56.23;-62.49;
02.10.2017 00:03:00;-0.30;-0.20;-1.38;-0.35;286.03;12.88;-24.20;-17.84;281.30;337.27;73.75;-6.35;-55.97;-62.32;
02.10.2017 00:04:00;-0.30;-0.20;-1.38;-0.35;286.02;12.87;-24.15;-17.75;281.27;336.29;73.50;-6.40;-55.02;-61.42;
02.10.2017 00:05:00;-0.30;-0.21;-1.38;-0.36;286.01;12.86;-24.24;-18.26;281.02;335.53;75.33;-5.98;-54.51;-60.49;
02.10.2017 00:06:00;-0.30;-0.21;-1.38;-0.35;285.97;12.82;-24.31;-18.46;280.90;336.78;75.95;-5.85;-55.87;-61.72;
02.10.2017 00:07:00;-0.30;-0.21;-1.38;-0.36;285.97;12.82;-24.34;-18.30;280.95;335.69;75.19;-6.04;-54.74;-60.78;
02.10.2017 00:08:00;-0.30;-0.20;-1.38;-0.36;285.97;12.82;-24.12;-17.84;281.07;335.14;73.94;-6.29;-54.07;-60.36;
02.10.2017 00:09:00;-0.30;-0.20;-1.38;-0.36;285.98;12.83;-24.11;-17.62;280.94;335.37;73.05;-6.50;-54.43;-60.93;
02.10.2017 00:10:00;-0.30;-0.21;-1.38;-0.37;285.97;12.82;-24.21;-18.00;280.87;334.49;74.36;-6.21;-53.62;-59.83;
02.10.2017 00:11:00;-0.30;-0.20;-1.39;-0.37;285.98;12.83;-24.24;-17.85;280.67;333.66;73.65;-6.39;-52.99;-59.38;
